"merge","filename.x","TYPE","BOX_AND_CODE","STATE","fullest_code","type_branch","rep","cluster","Region","zip_code","combined","otu_count"
"253-D6a","Vicky2-e3-253-D6A.mzXML","isolate","253-D6","CA","Vicky2-e3-253-D6A","branch_v","a","clu6_4","West",92624,"clu6_4-branch_v",490
"253-D6b","Vicky2-e3-253-D6B.mzXML","isolate","253-D6","CA","Vicky2-e3-253-D6B","branch_v","b","clu6_4","West",92624,"clu6_4-branch_v",245
"253-G9a","Vicky1-d12-253-G9A.mzXML","isolate","253-G9","MN","Vicky1-d12-253-G9A","branch_u","a","clu6_1","East North Central",56601,"clu6_1-branch_u",558
"253-G9b","Vicky1-d12-253-G9B.mzXML","isolate","253-G9","MN","Vicky1-d12-253-G9B","branch_u","b","clu6_1","East North Central",56601,"clu6_1-branch_u",428
"258-B8a","Vicky2-d1-258-B8A.mzXML","isolate","258-B8","AL","Vicky2-d1-258-B8A","branch_u","a","clu6_1","Southeast",35216,"clu6_1-branch_u",512
"258-B8b","Vicky2-d1-258-B8B.mzXML","isolate","258-B8","AL","Vicky2-d1-258-B8B","branch_u","b","clu6_1","Southeast",35216,"clu6_1-branch_u",295
"260-C1a","Vicky1-b5-260-C1A.mzXML","isolate","260-C1","CA","Vicky1-b5-260-C1A","branch_u","a","clu6_1","West",92694,"clu6_1-branch_u",874
"260-C1b","Vicky1-b5-260-C1B.mzXML","isolate","260-C1","CA","Vicky1-b5-260-C1B","branch_u","b","clu6_1","West",92694,"clu6_1-branch_u",583
"260-D5a","Vicky1-a12-260-D5A.mzXML","isolate","260-D5","CA","Vicky1-a12-260-D5A","branch_u","a","clu6_1","West",92629,"clu6_1-branch_u",1046
"260-D5b","Vicky1-a12-260-D5B.mzXML","isolate","260-D5","CA","Vicky1-a12-260-D5B","branch_u","b","clu6_1","West",92629,"clu6_1-branch_u",734
"260-D9a","Vicky2-g4-260-D9A.mzXML","isolate","260-D9","CA","Vicky2-g4-260-D9A","branch_w","a","clu6_2","West",92624,"clu6_2-branch_w",217
"260-D9b","Vicky2-g4-260-D9B.mzXML","isolate","260-D9","CA","Vicky2-g4-260-D9B","branch_w","b","clu6_2","West",92624,"clu6_2-branch_w",149
"262-B7a","Vicky1-f11-262-B7A.mzXML","isolate","262-B7","CA","Vicky1-f11-262-B7A","branch_u","a","clu6_1","West",92624,"clu6_1-branch_u",702
"262-B7b","Vicky1-f11-262-B7B.mzXML","isolate","262-B7","CA","Vicky1-f11-262-B7B","branch_u","b","clu6_1","West",92624,"clu6_1-branch_u",675
"263-C1a","Vicky3-a9-263-C1A.mzXML","isolate","263-C1","CA","Vicky3-a9-263-C1A","branch_v","a","clu6_2","West",92673,"clu6_2-branch_v",535
